[   46]   fixation ->    saccade (ibdt:108)
[   80]    saccade ->   fixation (ibdt:108)
[   82]    saccade ->   fixation (ibdt:108)
[   84]    saccade ->   fixation (ibdt:108)
[   86]    saccade ->   fixation (ibdt:108)
[   87]    saccade ->   fixation (ibdt:108)
[   88]    saccade ->   fixation (ibdt:108)
[   89]    saccade ->   fixation (ibdt:108)
[   90]    saccade ->   fixation (ibdt:108)
[   91]    saccade ->   fixation (ibdt:108)
[  125]    saccade ->   fixation (ibdt:108)
[  132]    saccade ->   fixation (ibdt:108)
[  133]    saccade ->   fixation (ibdt:108)
[  134]    saccade ->   fixation (ibdt:108)
[  261]    saccade ->   fixation (ibdt:108)
[  265]    saccade ->   fixation (ibdt:108)
[  266]    saccade ->   fixation (ibdt:108)
[  267]    saccade ->   fixation (ibdt:108)
[  301]    saccade ->   fixation (ibdt:108)
[  302]    saccade ->   fixation (ibdt:108)
[  307]    saccade ->   fixation (ibdt:108)
[  308]    saccade ->   fixation (ibdt:108)
[  309]    saccade ->   fixation (ibdt:108)
[  310]    saccade ->   fixation (ibdt:108)
[  348]    saccade ->   fixation (ibdt:108)
[  349]    saccade ->   fixation (ibdt:108)
[  350]    saccade ->   fixation (ibdt:108)
[  351]    saccade ->   fixation (ibdt:108)
[  352]    saccade ->   fixation (ibdt:108)
[  353]    saccade ->   fixation (ibdt:108)
[  354]    saccade ->   fixation (ibdt:108)
[  355]    saccade ->   fixation (ibdt:108)
[  356]    saccade ->   fixation (ibdt:108)
[  357]    saccade ->   fixation (ibdt:108)
[  358]    saccade ->   fixation (ibdt:108)
[  359]    saccade ->   fixation (ibdt:108)
[  360]    saccade ->   fixation (ibdt:108)
[  361]    saccade ->   fixation (ibdt:108)
[  447]    saccade ->   fixation (ibdt:108)
[  453]    saccade ->   fixation (ibdt:108)
[  454]    saccade ->   fixation (ibdt:108)
[  455]    saccade ->   fixation (ibdt:108)
[  456]    saccade ->   fixation (ibdt:108)
[  485]    saccade ->   fixation (ibdt:108)
[  497]    saccade ->   fixation (ibdt:108)
[  499]    saccade ->   fixation (ibdt:108)
[  500]    saccade ->   fixation (ibdt:108)
[  501]    saccade ->   fixation (ibdt:108)
[  502]    saccade ->   fixation (ibdt:108)
[  503]    saccade ->   fixation (ibdt:108)
[  586]    saccade ->   fixation (ibdt:108)
[  595]    saccade ->   fixation (ibdt:108)
[  596]    saccade ->   fixation (ibdt:108)
[  629]    saccade ->   fixation (ibdt:108)
[  630]    saccade ->   fixation (ibdt:108)
[  638]    saccade ->   fixation (ibdt:108)
[  639]    saccade ->   fixation (ibdt:108)
[  640]    pursuit ->   fixation (ibdt:108)
[  641]    pursuit ->   fixation (ibdt:108)
[  642]    pursuit ->   fixation (ibdt:108)
[  643]    pursuit ->   fixation (ibdt:108)
[  644]    pursuit ->   fixation (ibdt:108)
[  645]    pursuit ->   fixation (ibdt:108)
[  646]    pursuit ->   fixation (ibdt:108)
[  647]    pursuit ->   fixation (ibdt:108)
[  648]    pursuit ->   fixation (ibdt:108)
[  649]    pursuit ->   fixation (ibdt:108)
[  650]    pursuit ->   fixation (ibdt:108)
