[    9]   fixation ->    saccade (ibdt:108)
[   59]    saccade ->   fixation (ibdt:108)
[   60]    saccade ->   fixation (ibdt:108)
[   67]    saccade ->   fixation (ibdt:108)
[   68]    saccade ->   fixation (ibdt:108)
[   69]    saccade ->   fixation (ibdt:108)
[   70]    saccade ->   fixation (ibdt:108)
[   71]    saccade ->   fixation (ibdt:108)
[  118]    saccade ->   fixation (ibdt:108)
[  119]    saccade ->   fixation (ibdt:108)
[  120]    saccade ->   fixation (ibdt:108)
[  125]    saccade ->   fixation (ibdt:108)
[  126]    saccade ->   fixation (ibdt:108)
[  127]    saccade ->   fixation (ibdt:108)
[  128]    saccade ->   fixation (ibdt:108)
[  129]    saccade ->   fixation (ibdt:108)
[  130]    saccade ->   fixation (ibdt:108)
[  185]    saccade ->   fixation (ibdt:108)
[  191]    saccade ->   fixation (ibdt:108)
[  196]    saccade ->   fixation (ibdt:108)
[  197]    saccade ->   fixation (ibdt:108)
[  263]    saccade ->   fixation (ibdt:108)
[  271]    saccade ->   fixation (ibdt:108)
[  272]    saccade ->   fixation (ibdt:108)
[  273]    saccade ->   fixation (ibdt:108)
[  339]    saccade ->   fixation (ibdt:108)
[  340]    saccade ->   fixation (ibdt:108)
[  341]    saccade ->   fixation (ibdt:108)
[  346]    saccade ->   fixation (ibdt:108)
[  347]    saccade ->   fixation (ibdt:108)
[  348]    saccade ->   fixation (ibdt:108)
[  349]    saccade ->   fixation (ibdt:108)
[  416]    saccade ->   fixation (ibdt:108)
[  417]    saccade ->   fixation (ibdt:108)
[  424]    saccade ->   fixation (ibdt:108)
[  425]    saccade ->   fixation (ibdt:108)
[  426]    saccade ->   fixation (ibdt:108)
[  427]    saccade ->   fixation (ibdt:108)
[  428]    saccade ->   fixation (ibdt:108)
[  429]    saccade ->   fixation (ibdt:108)
[  567]    saccade ->   fixation (ibdt:108)
[  571]    saccade ->   fixation (ibdt:108)
[  572]    saccade ->   fixation (ibdt:108)
[  573]    saccade ->   fixation (ibdt:108)
[  574]    saccade ->   fixation (ibdt:108)
