[  143]   fixation ->    saccade (ibdt:108)
[  184]    saccade ->   fixation (ibdt:108)
[  189]    saccade ->   fixation (ibdt:108)
[  190]    saccade ->   fixation (ibdt:108)
[  191]    saccade ->   fixation (ibdt:108)
[  192]    saccade ->   fixation (ibdt:108)
[  193]    saccade ->   fixation (ibdt:108)
[  194]    saccade ->   fixation (ibdt:108)
[  195]    saccade ->   fixation (ibdt:108)
[  196]    saccade ->   fixation (ibdt:108)
[  197]    saccade ->   fixation (ibdt:108)
[  236]    saccade ->   fixation (ibdt:108)
[  237]    saccade ->   fixation (ibdt:108)
[  248]    saccade ->   fixation (ibdt:108)
[  249]    saccade ->   fixation (ibdt:108)
[  250]    saccade ->   fixation (ibdt:108)
[  251]    saccade ->   fixation (ibdt:108)
[  252]    saccade ->   fixation (ibdt:108)
[  253]    saccade ->   fixation (ibdt:108)
[  254]    saccade ->   fixation (ibdt:108)
[  255]    saccade ->   fixation (ibdt:108)
[  296]    saccade ->   fixation (ibdt:108)
[  297]    saccade ->   fixation (ibdt:108)
[  301]    saccade ->   fixation (ibdt:108)
[  339]    saccade ->   fixation (ibdt:108)
[  340]    saccade ->   fixation (ibdt:108)
[  348]    saccade ->   fixation (ibdt:108)
[  349]    saccade ->   fixation (ibdt:108)
[  350]    saccade ->   fixation (ibdt:108)
[  422]    saccade ->   fixation (ibdt:108)
[  423]    saccade ->   fixation (ibdt:108)
[  427]    saccade ->   fixation (ibdt:108)
[  428]    saccade ->   fixation (ibdt:108)
[  429]    saccade ->   fixation (ibdt:108)
[  430]    saccade ->   fixation (ibdt:108)
[  431]    saccade ->   fixation (ibdt:108)
[  484]    saccade ->   fixation (ibdt:108)
[  491]    saccade ->   fixation (ibdt:108)
[  492]    saccade ->   fixation (ibdt:108)
[  493]    saccade ->   fixation (ibdt:108)
[  494]    saccade ->   fixation (ibdt:108)
[  545]    saccade ->   fixation (ibdt:108)
[  546]    saccade ->   fixation (ibdt:108)
[  552]    saccade ->   fixation (ibdt:108)
[  553]    saccade ->   fixation (ibdt:108)
[  554]    saccade ->   fixation (ibdt:108)
[  555]    saccade ->   fixation (ibdt:108)
[  556]    saccade ->   fixation (ibdt:108)
[  602]    saccade ->   fixation (ibdt:108)
[  603]    saccade ->   fixation (ibdt:108)
[  606]    saccade ->   fixation (ibdt:108)
[  672]    saccade ->   fixation (ibdt:108)
[  673]    saccade ->   fixation (ibdt:108)
[  679]    saccade ->   fixation (ibdt:108)
[  680]    saccade ->   fixation (ibdt:108)
[  681]    saccade ->   fixation (ibdt:108)
[  682]    saccade ->   fixation (ibdt:108)
[  735]    saccade ->   fixation (ibdt:108)
[  736]    saccade ->   fixation (ibdt:108)
[  737]    saccade ->   fixation (ibdt:108)
[  738]    saccade ->   fixation (ibdt:108)
[  739]    saccade ->   fixation (ibdt:108)
[  740]    saccade ->   fixation (ibdt:108)
[  787]    saccade ->   fixation (ibdt:108)
[  788]    saccade ->   fixation (ibdt:108)
[  797]    saccade ->   fixation (ibdt:108)
[  798]    saccade ->   fixation (ibdt:108)
[  799]    saccade ->   fixation (ibdt:108)
[  848]    saccade ->   fixation (ibdt:108)
[  849]    saccade ->   fixation (ibdt:108)
[  850]    saccade ->   fixation (ibdt:108)
[  852]    saccade ->   fixation (ibdt:108)
[  853]    saccade ->   fixation (ibdt:108)
[  854]    saccade ->   fixation (ibdt:108)
[  912]    saccade ->   fixation (ibdt:108)
[  913]    saccade ->   fixation (ibdt:108)
[  923]    saccade ->   fixation (ibdt:108)
[  924]    saccade ->   fixation (ibdt:108)
[  925]    saccade ->   fixation (ibdt:108)
[  971]    saccade ->   fixation (ibdt:108)
[  978]    saccade ->   fixation (ibdt:108)
[  979]    saccade ->   fixation (ibdt:108)
[ 1035]    saccade ->   fixation (ibdt:108)
[ 1036]    saccade ->   fixation (ibdt:108)
[ 1038]    saccade ->   fixation (ibdt:108)
[ 1039]    saccade ->   fixation (ibdt:108)
[ 1040]    saccade ->   fixation (ibdt:108)
[ 1091]    saccade ->   fixation (ibdt:108)
[ 1092]    saccade ->   fixation (ibdt:108)
[ 1096]    saccade ->   fixation (ibdt:108)
[ 1097]    saccade ->   fixation (ibdt:108)
[ 1098]    saccade ->   fixation (ibdt:108)
[ 1099]    saccade ->   fixation (ibdt:108)
[ 1100]    saccade ->   fixation (ibdt:108)
[ 1206]    saccade ->   fixation (ibdt:108)
[ 1207]    saccade ->   fixation (ibdt:108)
[ 1210]    saccade ->   fixation (ibdt:108)
[ 1211]    saccade ->   fixation (ibdt:108)
[ 1212]    saccade ->   fixation (ibdt:108)
[ 1213]    saccade ->   fixation (ibdt:108)
[ 1214]    saccade ->   fixation (ibdt:108)
[ 1355]    saccade ->   fixation (ibdt:108)
[ 1356]    saccade ->   fixation (ibdt:108)
[ 1357]    saccade ->   fixation (ibdt:108)
[ 1358]    saccade ->   fixation (ibdt:108)
[ 1359]    saccade ->   fixation (ibdt:108)
[ 1361]    saccade ->   fixation (ibdt:108)
[ 1396]    saccade ->   fixation (ibdt:108)
[ 1397]    saccade ->   fixation (ibdt:108)
[ 1398]    saccade ->   fixation (ibdt:108)
[ 1403]    saccade ->   fixation (ibdt:108)
[ 1404]    saccade ->   fixation (ibdt:108)
[ 1405]    saccade ->   fixation (ibdt:108)
[ 1406]    saccade ->   fixation (ibdt:108)
[ 1457]    saccade ->   fixation (ibdt:108)
[ 1458]    saccade ->   fixation (ibdt:108)
[ 1462]    saccade ->   fixation (ibdt:108)
[ 1463]    saccade ->   fixation (ibdt:108)
[ 1464]    saccade ->   fixation (ibdt:108)
[ 1465]    saccade ->   fixation (ibdt:108)
[ 1515]    saccade ->   fixation (ibdt:108)
[ 1521]    saccade ->   fixation (ibdt:108)
