[  127]   fixation ->    saccade (ibdt:108)
[  165]    saccade ->   fixation (ibdt:108)
[  170]    saccade ->   fixation (ibdt:108)
[  171]    saccade ->   fixation (ibdt:108)
[  172]    saccade ->   fixation (ibdt:108)
[  173]    saccade ->   fixation (ibdt:108)
[  174]    saccade ->   fixation (ibdt:108)
[  240]    saccade ->   fixation (ibdt:108)
[  241]    saccade ->   fixation (ibdt:108)
[  250]    saccade ->   fixation (ibdt:108)
[  357]    saccade ->   fixation (ibdt:108)
[  368]    saccade ->   fixation (ibdt:108)
[  369]    saccade ->   fixation (ibdt:108)
[  370]    saccade ->   fixation (ibdt:108)
[  478]    saccade ->   fixation (ibdt:108)
[  479]    saccade ->   fixation (ibdt:108)
[  480]    saccade ->   fixation (ibdt:108)
[  487]    saccade ->   fixation (ibdt:108)
[  488]    saccade ->   fixation (ibdt:108)
[  489]    saccade ->   fixation (ibdt:108)
[  570]    saccade ->   fixation (ibdt:108)
[  571]    saccade ->   fixation (ibdt:108)
[  572]    saccade ->   fixation (ibdt:108)
[  576]    saccade ->   fixation (ibdt:108)
[  579]    saccade ->   fixation (ibdt:108)
[  580]    saccade ->   fixation (ibdt:108)
[  581]    saccade ->   fixation (ibdt:108)
[  582]    saccade ->   fixation (ibdt:108)
[  583]    saccade ->   fixation (ibdt:108)
[  584]    saccade ->   fixation (ibdt:108)
[  585]    saccade ->   fixation (ibdt:108)
[  630]    saccade ->   fixation (ibdt:108)
[  631]    saccade ->   fixation (ibdt:108)
[  638]    saccade ->   fixation (ibdt:108)
[  639]    saccade ->   fixation (ibdt:108)
[  640]    saccade ->   fixation (ibdt:108)
[  641]    saccade ->   fixation (ibdt:108)
[  642]    pursuit ->   fixation (ibdt:108)
[  643]    pursuit ->   fixation (ibdt:108)
[  644]    pursuit ->   fixation (ibdt:108)
[  645]    pursuit ->   fixation (ibdt:108)
[  646]    pursuit ->   fixation (ibdt:108)
[  647]    pursuit ->   fixation (ibdt:108)
[  648]    pursuit ->   fixation (ibdt:108)
[  649]    pursuit ->   fixation (ibdt:108)
[  650]    pursuit ->   fixation (ibdt:108)
[  651]    pursuit ->   fixation (ibdt:108)
[  652]    pursuit ->   fixation (ibdt:108)
[  653]    pursuit ->   fixation (ibdt:108)
[  654]    pursuit ->   fixation (ibdt:108)
[  655]    pursuit ->   fixation (ibdt:108)
[  656]    pursuit ->   fixation (ibdt:108)
[  657]    pursuit ->   fixation (ibdt:108)
[  658]    pursuit ->   fixation (ibdt:108)
[  659]    pursuit ->   fixation (ibdt:108)
[  660]    pursuit ->   fixation (ibdt:108)
[  661]    pursuit ->   fixation (ibdt:108)
[  662]    pursuit ->   fixation (ibdt:108)
[  663]    pursuit ->   fixation (ibdt:108)
[  664]    pursuit ->   fixation (ibdt:108)
[  665]    pursuit ->   fixation (ibdt:108)
[  666]    pursuit ->   fixation (ibdt:108)
[  667]    pursuit ->   fixation (ibdt:108)
[  668]    pursuit ->   fixation (ibdt:108)
[  669]    pursuit ->   fixation (ibdt:108)
[  670]    pursuit ->   fixation (ibdt:108)
[  671]    pursuit ->   fixation (ibdt:108)
[  672]    pursuit ->   fixation (ibdt:108)
[  673]    pursuit ->   fixation (ibdt:108)
[  674]    pursuit ->   fixation (ibdt:108)
[  675]    pursuit ->   fixation (ibdt:108)
[  676]    pursuit ->   fixation (ibdt:108)
[  677]    pursuit ->   fixation (ibdt:108)
[  678]    pursuit ->   fixation (ibdt:108)
[  679]    pursuit ->   fixation (ibdt:108)
[  680]    pursuit ->   fixation (ibdt:108)
[  681]    pursuit ->   fixation (ibdt:108)
[  682]    pursuit ->   fixation (ibdt:108)
[  683]    pursuit ->   fixation (ibdt:108)
[  684]    pursuit ->   fixation (ibdt:108)
[  685]    pursuit ->   fixation (ibdt:108)
[  686]    pursuit ->   fixation (ibdt:108)
[  687]    pursuit ->   fixation (ibdt:108)
[  688]    pursuit ->   fixation (ibdt:108)
[  689]    pursuit ->   fixation (ibdt:108)
[  690]    pursuit ->   fixation (ibdt:108)
[  691]    pursuit ->   fixation (ibdt:108)
[  692]    pursuit ->   fixation (ibdt:108)
[  693]    pursuit ->   fixation (ibdt:108)
[  694]    pursuit ->   fixation (ibdt:108)
[  695]    pursuit ->   fixation (ibdt:108)
[  696]    pursuit ->   fixation (ibdt:108)
[  697]    pursuit ->   fixation (ibdt:108)
[  698]    pursuit ->   fixation (ibdt:108)
[  699]    pursuit ->   fixation (ibdt:108)
[  700]    pursuit ->   fixation (ibdt:108)
[  701]    pursuit ->   fixation (ibdt:108)
[  702]    pursuit ->   fixation (ibdt:108)
[  703]    pursuit ->   fixation (ibdt:108)
[  704]    pursuit ->   fixation (ibdt:108)
[  705]    pursuit ->   fixation (ibdt:108)
[  706]    pursuit ->   fixation (ibdt:108)
[  707]    pursuit ->   fixation (ibdt:108)
[  708]    pursuit ->   fixation (ibdt:108)
[  709]    pursuit ->   fixation (ibdt:108)
[  710]    pursuit ->   fixation (ibdt:108)
[  711]    pursuit ->   fixation (ibdt:108)
[  712]    pursuit ->   fixation (ibdt:108)
[  713]    pursuit ->   fixation (ibdt:108)
[  714]    pursuit ->   fixation (ibdt:108)
[  715]    pursuit ->   fixation (ibdt:108)
[  716]    pursuit ->   fixation (ibdt:108)
[  717]    pursuit ->   fixation (ibdt:108)
[  718]    pursuit ->   fixation (ibdt:108)
[  719]    pursuit ->   fixation (ibdt:108)
[  720]    pursuit ->   fixation (ibdt:108)
[  721]    pursuit ->   fixation (ibdt:108)
[  722]    pursuit ->   fixation (ibdt:108)
[  723]    pursuit ->   fixation (ibdt:108)
[  724]    pursuit ->   fixation (ibdt:108)
[  725]    pursuit ->   fixation (ibdt:108)
[  726]    pursuit ->   fixation (ibdt:108)
[  727]    pursuit ->   fixation (ibdt:108)
[  728]    pursuit ->   fixation (ibdt:108)
[  729]    pursuit ->   fixation (ibdt:108)
[  730]    pursuit ->   fixation (ibdt:108)
[  731]    pursuit ->   fixation (ibdt:108)
[  732]    pursuit ->   fixation (ibdt:108)
[  733]    pursuit ->   fixation (ibdt:108)
[  734]    pursuit ->   fixation (ibdt:108)
[  735]    pursuit ->   fixation (ibdt:108)
[  736]    pursuit ->   fixation (ibdt:108)
[  737]    pursuit ->   fixation (ibdt:108)
[  738]    pursuit ->   fixation (ibdt:108)
[  739]    pursuit ->   fixation (ibdt:108)
[  740]    pursuit ->   fixation (ibdt:108)
[  741]    pursuit ->   fixation (ibdt:108)
[  742]    pursuit ->   fixation (ibdt:108)
[  743]    pursuit ->   fixation (ibdt:108)
